restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,City Tier,State/U.T,Region
# Momo,4.2,200,34,0,0,0,0,0,0,Durgapur,Tier 2 Cities,West Bengal,East India
#99,4.1,100,31,0,0,0,0,0,0,Bareilly,Tier 2 Cities,Uttar Pradesh,North India
#BBQ,3.6,200,57,0,0,1,0,0,0,Mangalore,Tier 2 Cities,Karnataka,South India
#Dilliwaala6,3.7,100,38,0,1,0,1,0,0,Puducherry,Tier 3 Cities,Puducherry,South India
#FlyFree,4.0,200,26,0,0,1,0,0,0,Ajmer,Tier 2 Cities,Rajasthan,North India
#Foodiz,3.5,100,23,0,1,1,0,0,0,Udaipur,Tier 2 Cities,Rajasthan,North India
#Hashtag Momos,4.3,300,25,0,0,1,0,0,0,Jaipur,Tier 2 Cities,Rajasthan,North India
#PB Patiala Bites,4.0,350,47,0,1,1,0,0,0,Udaipur,Tier 2 Cities,Rajasthan,North India
'@ Pizza,4.0,200,71,0,0,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
'@ Spirants Chai,4.2,150,24,0,0,0,0,0,0,Gaya,Tier 3 Cities,Bihar,East India
'@69 Food Zone,3.7,200,35,0,1,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
0265 Burgers & Pizzas,4.5,150,24,0,0,1,0,0,0,Vadodara,Tier 2 Cities,Gujarat,West India
0612 Road Chef Online,4.2,250,35,0,1,0,0,1,0,Patna,Tier 2 Cities,Bihar,East India
07 Bakery,2.7,150,23,0,0,0,0,0,1,Kota,Tier 2 Cities,Rajasthan,North India
1 Bake Shop,4.0,100,38,0,0,1,0,0,1,Bhubaneswar,Tier 2 Cities,Odisha,East India
1 Bake Shop,4.1,100,24,0,0,1,0,0,1,Cuttack,Tier 2 Cities,Odisha,East India
10 Downing Street,4.3,150,24,0,1,0,0,0,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
10 Dur's,4.1,200,20,0,1,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
10 Hour's Family Restaurant,3.8,200,32,0,1,1,0,1,0,Patna,Tier 2 Cities,Bihar,East India
10 Muffins,4.4,600,37,0,0,0,0,0,0,Chennai,Tier 1  Cities,Tamil Nadu,South India
10 Park Street Cafe & Kitchen,4.2,300,34,0,1,0,0,0,0,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
10 To 10 Restaurants & Party Hall,3.0,100,26,1,1,0,0,0,0,Patna,Tier 2 Cities,Bihar,East India
100 Foodies,3.8,100,27,0,0,1,1,0,0,Kota,Tier 2 Cities,Rajasthan,North India
1000 BC,3.6,150,51,0,1,0,0,0,0,Kolkata,Tier 1  Cities,West Bengal,East India
100N,4.1,50,55,0,0,1,0,0,0,Hyderabad,Tier 1  Cities,Telangana,South India
11 July Fine Dine Restaurant,3.8,150,39,0,1,0,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
11 Spices Multi Cusine Restaurant,3.5,150,49,0,0,0,0,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
11 Star Cakes,3.7,100,27,0,0,0,0,0,1,Meerut,Tier 2 Cities,Uttar Pradesh,North India
11-11 Flash Back,4.2,150,25,0,0,0,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
11-11 The Food Station,4.1,100,28,0,0,1,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
11th Avenue Cafe Bistro,3.7,400,48,0,0,0,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
11th Avenue Cafe Bistro,4.0,150,53,0,0,1,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
11To11,4.4,100,25,0,0,1,0,0,0,Salem,Tier 2 Cities,Tamil Nadu,South India
1211 Pizza Point,4.0,150,45,0,0,1,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
12-3 AM Biryani,3.1,200,28,0,1,1,1,0,0,Vijayawada,Tier 2 Cities,Andhra Pradesh,South India
13 Shawarma,4.0,150,30,0,0,1,0,0,0,Mumbai,Tier 1  Cities,Maharashtra,West India
